"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2008";3704142
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2009";3759069
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2010";3821837
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2011";3945942
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2012";3999684
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2013";4051765
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2014";4102187
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2015";4150912
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2016";4189258
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2017";4230858
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2018";4273661
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2019";4315587
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2020";4356651
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2021";4396853
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2022";4052274
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2023";4326728
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2024";4350511
"Demografia";"-";"População por Sexo";"Pará";"Pará";"Masculino";"2025";4373481
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2008";69969
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2009";70859
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2010";71630
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2011";73794
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2012";74625
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2013";75427
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2014";75927
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2015";76696
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2016";77769
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2017";78432
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2018";79120
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2019";79780
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2020";80437
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2021";81073
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2022";79297
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2023";85494
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2024";86302
"Demografia";"-";"População por Sexo";"Tocantins";"Abaetetuba";"Masculino";"2025";86963
"Demografia";"-";"População por Sexo";"Rio Capim";"Abel Figueiredo";"Masculino";"2008";3563
"Demografia";"-";"População por Sexo";"Rio Capim";"Abel Figueiredo";"Masculino";"2009";3612
"Demografia";"-";"População por Sexo";"Rio Capim";"Abel Figueiredo";"Masculino";"2010";3533
"Demografia";"-";"População por Sexo";"Rio Capim";"Abel Figueiredo";"Masculino";"2011";3621
