"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2008";6,55408671428082
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2009";6,68136045569341
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2010";7,05884975579244
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2011";6,54678093749569
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2012";6,74329108166749
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2013";6,95628693541777
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2014";7,18186012379357
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2015";7,41810920794661
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2016";8,1426545046246
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2017";8,38161791192636
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2018";5,71534822881831
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2019";5,89214174580212
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2020";6,07733859410212
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2021";6,27168990662545
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2022";7,25392422754517
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2023";7,23723671443759
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2024";7,53123216100632
"Demografia";"-";"Proporção de Idosos";"Pará";"Pará";"-";"2025";7,83352825490323
"Demografia";"-";"Proporção de Idosos";"Tocantins";"Abaetetuba";"-";"2008";6,6504836781276
"Demografia";"-";"Proporção de Idosos";"Tocantins";"Abaetetuba";"-";"2009";6,8095180197255
"Demografia";"-";"Proporção de Idosos";"Tocantins";"Abaetetuba";"-";"2010";7,15520907158044
