"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2008";63,6531787617915
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2009";62,3051218985335
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2010";61,5906801960561
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2011";62,5644140052976
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2012";61,5713099976593
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2013";60,6308693530608
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2014";59,7461804697499
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2015";58,9399230220523
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2016";56,1864722343877
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2017";55,3673325204617
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2018";48,0225889487671
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2019";47,2882225612528
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2020";46,6365241112884
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2021";46,0006743515687
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2022";46,5694533306502
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2023";45,3092627462157
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2024";44,8135224043544
"Demografia";"-";"Razão de Dependência";"Pará";"Pará";"-";"2025";44,4791578038136
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2008";68,1839231744175
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2009";66,4757709251101
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2010";60,9866852259632
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2011";61,2359676443568
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2012";59,8531171440177
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2013";58,6467299384877
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2014";56,3981692398549
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2015";54,7982563064273
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2016";53,8617315635401
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2017";53,016095724604
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2018";46,031805355708
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2019";45,3263664261425
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2020";44,6931591824855
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2021";44,0633221690447
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2022";44,7719805613772
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2023";43,5629212054423
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2024";43,0606798350191
"Demografia";"-";"Razão de Dependência";"Tocantins";"Abaetetuba";"-";"2025";42,6995876595956
