"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2008";825
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2009";725
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2010";625
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2011";625
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2012";625
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2013";625
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2014";625
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2015";665
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2016";440
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2017";447
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2018";446
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2019";350
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2020";280
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2021";280
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2022";300
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Pará";"Pará";"Abacate (Toneladas)";"2023";290
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2008";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2009";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2010";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2011";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2012";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2013";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2014";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2015";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2016";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2017";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2018";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2019";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2020";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2021";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2022";0
"Economia";"Lavoura Permanente";"Quantidade produzida por tipo de Lavoura Permanente";"Tocantins";"Abaetetuba";"Abacate (Toneladas)";"2023";0
