"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2008";10358
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2009";9986
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2010";8592
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2011";8968
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2012";10605
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2013";10777
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2014";10630
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2015";11958
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2016";13429
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2017";11543
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2018";18779
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2019";14032
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2020";13680
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2021";13917
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2022";14168
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Pará";"Pará";"Abacaxi (Frutos por Hectare)";"2023";14001
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2008";5
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2009";5
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2010";5
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2011";5
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2012";5
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2013";5
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2014";5
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2015";5
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2016";15
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2017";15
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2018";15
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2019";15
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2020";25
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2021";15
"Economia";"Lavoura Temporária";"Área Plantada (em hectares) por Tipo de Lavoura Temporária";"Tocantins";"Abaetetuba";"Abacaxi (Frutos por Hectare)";"2022";15
