"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2008";599543
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2009";596755
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2010";563782
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2011";590554
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2012";560916
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2013";539490
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2014";554195
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2015";567231
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2016";577522
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2017";612810
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2018";623411
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2019";606661
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2020";599573
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2021";558313
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2022";578060
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Pará";"Pará";"-";"2023";580398
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2008";172
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2009";168
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2010";108
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2011";47
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2012";0
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2013";54
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2014";50
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2015";45
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2016";36
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2017";37
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2018";43
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2019";33
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2020";29
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2021";30
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2022";28
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Tocantins";"Abaetetuba";"-";"2023";23
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2008";11103
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2009";9993
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2010";7339
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2011";7022
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2012";5200
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2013";3086
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2014";3255
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2015";3581
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2016";3699
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2017";3703
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2018";3894
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2019";3913
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2020";3897
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2021";3590
"Economia";"Pecuária";"Produção de Origem Animal Leite (Mil litros)";"Rio Capim";"Abel Figueiredo";"-";"2022";3640
