"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Pará";"Pará";"-";"2011";741833
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Pará";"Pará";"-";"2012";713264
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Pará";"Pará";"-";"2013";542746
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Pará";"Pará";"-";"2014";559417
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Pará";"Pará";"-";"2015";557848
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Pará";"Pará";"-";"2016";636859
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Pará";"Pará";"-";"2017";720365
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Pará";"Pará";"-";"2018";725414
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Pará";"Pará";"-";"2019";718732
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Pará";"Pará";"-";"2020";739062
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Pará";"Pará";"-";"2021";714750
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Pará";"Pará";"-";"2022";699341
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Pará";"Pará";"-";"2023";706812
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Tocantins";"Abaetetuba";"-";"2011";17386
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Tocantins";"Abaetetuba";"-";"2012";16986
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Tocantins";"Abaetetuba";"-";"2013";15000
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Tocantins";"Abaetetuba";"-";"2014";14000
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Tocantins";"Abaetetuba";"-";"2015";14270
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Tocantins";"Abaetetuba";"-";"2016";13500
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Tocantins";"Abaetetuba";"-";"2017";11298
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Tocantins";"Abaetetuba";"-";"2018";11100
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Tocantins";"Abaetetuba";"-";"2019";10900
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Tocantins";"Abaetetuba";"-";"2020";11000
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Tocantins";"Abaetetuba";"-";"2021";12000
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Tocantins";"Abaetetuba";"-";"2022";13000
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Tocantins";"Abaetetuba";"-";"2023";14000
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Rio Capim";"Abel Figueiredo";"-";"2011";3439
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Rio Capim";"Abel Figueiredo";"-";"2012";2850
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Rio Capim";"Abel Figueiredo";"-";"2013";2297
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Rio Capim";"Abel Figueiredo";"-";"2014";2312
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Rio Capim";"Abel Figueiredo";"-";"2015";2179
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Rio Capim";"Abel Figueiredo";"-";"2016";2550
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Rio Capim";"Abel Figueiredo";"-";"2017";2703
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Rio Capim";"Abel Figueiredo";"-";"2018";2550
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Rio Capim";"Abel Figueiredo";"-";"2019";2804
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Rio Capim";"Abel Figueiredo";"-";"2020";2851
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Rio Capim";"Abel Figueiredo";"-";"2021";2100
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Rio Capim";"Abel Figueiredo";"-";"2022";2330
"Economia";"Pecuária";"Efetivo de Rebanho Suíno (Total)";"Rio Capim";"Abel Figueiredo";"-";"2023";3010
