"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2008";202005
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2009";197739
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2010";203368
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2011";213052
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2012";175757
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2013";193427
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2014";213809
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2015";235388
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2016";280063
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2017";252514
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2018";265826
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2019";257726
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2020";228187
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2021";266760
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2022";262486
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Pará";"Pará";"-";"2023";272487
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2008";303
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2009";285
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2010";280
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2011";262
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2012";265
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2013";255
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2014";210
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2015";200
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2016";161
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2017";189
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2018";220
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2019";210
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2020";200
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2021";210
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2022";220
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Abaetetuba";"-";"2023";250
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2008";697
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2009";632
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2010";804
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2011";864
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2012";842
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2013";710
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2014";962
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2015";895
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2016";910
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2017";923
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2018";910
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2019";855
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2020";854
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2021";661
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2022";760
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Rio Capim";"Abel Figueiredo";"-";"2023";374
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2008";990
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2009";480
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2010";496
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2011";296
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2012";184
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2013";152
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2014";36
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2015";33
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2016";32
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2017";120
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2018";334
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2019";327
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2020";279
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2021";336
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2022";214
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Tocantins";"Acará";"-";"2023";224
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2008";620
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2009";560
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2010";530
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2011";520
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2012";490
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2013";34
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2014";114
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2015";59
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2016";114
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2017";100
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2018";102
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2019";110
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2020";116
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2021";137
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2022";154
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Marajó";"Afuá";"-";"2023";167
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2008";1827
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2009";1463
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2010";2365
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2011";2127
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2012";2069
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2013";1241
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2014";1946
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2015";2608
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2016";2686
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2017";2772
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2018";3043
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2019";3035
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2020";2576
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2021";2877
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2022";3129
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Araguaia";"Água Azul do Norte";"-";"2023";3667
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2008";3570
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2009";1717
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2010";1735
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2011";3510
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2012";2777
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2013";3038
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2014";2863
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2015";3025
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2016";3025
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2017";3440
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2018";3592
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2019";3325
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2020";3050
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2021";2964
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2022";2786
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Alenquer";"-";"2023";3305
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2008";1420
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2009";1562
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2010";1640
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2011";1738
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2012";1772
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2013";174
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2014";385
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2015";86
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2016";87
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2017";89
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2018";826
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2019";800
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2020";841
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2021";1524
"Economia";"Pecuária";"Efetivo de Rebanho Ovino";"Baixo Amazonas";"Almeirim";"-";"2022";841
