"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Pará";"Pará";"-";"2011";13034465
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Pará";"Pará";"-";"2012";12858203
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Pará";"Pará";"-";"2013";13081808
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Pará";"Pará";"-";"2014";19667643
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Pará";"Pará";"-";"2015";26020054
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Pará";"Pará";"-";"2016";26378888
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Pará";"Pará";"-";"2017";25537726
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Pará";"Pará";"-";"2018";27820116
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Pará";"Pará";"-";"2019";30393850
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Pará";"Pará";"-";"2020";30623274
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Pará";"Pará";"-";"2021";28886605
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Pará";"Pará";"-";"2022";29285496
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Pará";"Pará";"-";"2023";29435059
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Abaetetuba";"-";"2011";115500
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Abaetetuba";"-";"2012";111500
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Abaetetuba";"-";"2013";110000
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Abaetetuba";"-";"2014";105000
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Abaetetuba";"-";"2015";105500
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Abaetetuba";"-";"2016";1e+05
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Abaetetuba";"-";"2017";96876
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Abaetetuba";"-";"2018";102000
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Abaetetuba";"-";"2019";103000
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Abaetetuba";"-";"2020";102000
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Abaetetuba";"-";"2021";103000
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Abaetetuba";"-";"2022";105000
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Abaetetuba";"-";"2023";107000
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Rio Capim";"Abel Figueiredo";"-";"2011";13503
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Rio Capim";"Abel Figueiredo";"-";"2012";10950
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Rio Capim";"Abel Figueiredo";"-";"2013";8280
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Rio Capim";"Abel Figueiredo";"-";"2014";7858
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Rio Capim";"Abel Figueiredo";"-";"2015";8135
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Rio Capim";"Abel Figueiredo";"-";"2016";9553
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Rio Capim";"Abel Figueiredo";"-";"2017";8769
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Rio Capim";"Abel Figueiredo";"-";"2018";9533
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Rio Capim";"Abel Figueiredo";"-";"2019";9900
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Rio Capim";"Abel Figueiredo";"-";"2020";8086
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Rio Capim";"Abel Figueiredo";"-";"2021";6500
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Rio Capim";"Abel Figueiredo";"-";"2022";6350
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Rio Capim";"Abel Figueiredo";"-";"2023";6400
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Acará";"-";"2011";41120
"Economia";"Pecuária";"Efetivo de Rebanho Galináceos (Total)";"Tocantins";"Acará";"-";"2012";36215
