"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Pará";"Pará";"-";"2008";58518557
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Pará";"Pará";"-";"2009";58401830
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Pará";"Pará";"-";"2010";82684517,799
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Pará";"Pará";"-";"2011";98710735,865
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Pará";"Pará";"-";"2012";107080880,914
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Pará";"Pará";"-";"2013";121224846,594
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Pará";"Pará";"-";"2014";124584945,023
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Pará";"Pará";"-";"2015";130899505
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Pará";"Pará";"-";"2016";138107514
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Pará";"Pará";"-";"2017";155232404
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Pará";"Pará";"-";"2018";161349602,045
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Pará";"Pará";"-";"2019";178376983,522
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Pará";"Pará";"-";"2020";215935603,795
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Pará";"Pará";"-";"2021";262904979,116
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2008";406748
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2009";456937
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2010";583793,453
"Economia";"PIB";"Produto Interno Bruto a Preços Correntes (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2011";709883,606
