"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Pará";"Pará";"-";"2008";19154643
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Pará";"Pará";"-";"2009";15312866
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Pará";"Pará";"-";"2010";26792382,336
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Pará";"Pará";"-";"2011";34636072,567
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Pará";"Pará";"-";"2012";32488198,494
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Pará";"Pará";"-";"2013";36630082,911
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Pará";"Pará";"-";"2014";33311858,045
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Pará";"Pará";"-";"2015";33186298
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Pará";"Pará";"-";"2016";31529492
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Pará";"Pará";"-";"2017";43802183
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Pará";"Pará";"-";"2018";45502447,42
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Pará";"Pará";"-";"2019";55476708,365
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Pará";"Pará";"-";"2020";84173852,308
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Pará";"Pará";"-";"2021";111321133,172
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2008";46105
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2009";46471
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2010";31239,975
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2011";44167,308
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2012";36469,75
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2013";37866,697
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2014";60020,825
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2015";62859
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2016";58485
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2017";64818
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2018";65828,358
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2019";66557,335
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2020";66068,923
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Tocantins";"Abaetetuba";"-";"2021";73666,588
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Rio Capim";"Abel Figueiredo";"-";"2008";3212
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Rio Capim";"Abel Figueiredo";"-";"2009";3384
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Rio Capim";"Abel Figueiredo";"-";"2010";3926,601
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Rio Capim";"Abel Figueiredo";"-";"2011";5032,884
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Rio Capim";"Abel Figueiredo";"-";"2012";-409,973
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Rio Capim";"Abel Figueiredo";"-";"2013";3695
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Rio Capim";"Abel Figueiredo";"-";"2014";6451,742
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Rio Capim";"Abel Figueiredo";"-";"2015";4833
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Rio Capim";"Abel Figueiredo";"-";"2016";5168
"Economia";"PIB";"Valor Adicionado Bruto a Preços Correntes da Indústria (Mil Reais)";"Rio Capim";"Abel Figueiredo";"-";"2017";6029
