"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2009";1385198
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2010";1475157
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2011";1550854
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2012";1641612
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2013";1733995
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2014";1880167
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2015";1987682
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2016";2096077
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2017";2226751
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2018";2271586
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2019";2323589
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2020";2360973
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2021";2432201
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2022";2543351
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Pará";"Pará";"Residencial";"2023";2614106
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2009";18046
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2010";18904
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2011";19817
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2012";20814
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2013";21804
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2014";24095
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2015";25719
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2016";28009
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2017";31299
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2018";31334
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2019";31678
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2020";33298
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2021";37588
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2022";38861
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Tocantins";"Abaetetuba";"Residencial";"2023";39669,0801962241
"Infraestrutura";"-";"Consumidores de Energia Elétrica por Tipo";"Rio Capim";"Abel Figueiredo";"Residencial";"2009";1622
