"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Pará";"Pará";"Residencial";"2016";3746100599,297
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Pará";"Pará";"Residencial";"2017";3809919132,217
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Pará";"Pará";"Residencial";"2018";3671933475,14349
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Pará";"Pará";"Residencial";"2019";3611842598,48085
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Pará";"Pará";"Residencial";"2020";3901893787,64116
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Pará";"Pará";"Residencial";"2021";4265150901,08886
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Pará";"Pará";"Residencial";"2022";4538541015
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Pará";"Pará";"Residencial";"2023";5111198983,99999
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Abaetetuba";"Residencial";"2016";45605639,149
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Abaetetuba";"Residencial";"2017";46197721,005
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Abaetetuba";"Residencial";"2018";41820111,53162
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Abaetetuba";"Residencial";"2019";36332054,89407
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Abaetetuba";"Residencial";"2020";42985538,85473
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Abaetetuba";"Residencial";"2021";73177199,61762
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Abaetetuba";"Residencial";"2022";75856037,4416
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Abaetetuba";"Residencial";"2023";82947389,6667296
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Rio Capim";"Abel Figueiredo";"Residencial";"2016";2902908,5
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Rio Capim";"Abel Figueiredo";"Residencial";"2017";3002760,804
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Rio Capim";"Abel Figueiredo";"Residencial";"2018";2964633,97504
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Rio Capim";"Abel Figueiredo";"Residencial";"2019";2963436,77498
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Rio Capim";"Abel Figueiredo";"Residencial";"2020";3076929,07499
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Rio Capim";"Abel Figueiredo";"Residencial";"2021";3121535,2
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Rio Capim";"Abel Figueiredo";"Residencial";"2022";3187607,325
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Rio Capim";"Abel Figueiredo";"Residencial";"2023";3567675,49449523
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Acará";"Residencial";"2016";10639777,904
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Acará";"Residencial";"2017";10033719,136
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Acará";"Residencial";"2018";9794645,00001
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Acará";"Residencial";"2019";8687838,90003
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Acará";"Residencial";"2020";8979917,54864
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Acará";"Residencial";"2021";9527380,42501
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Acará";"Residencial";"2022";9951274,94998
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Tocantins";"Acará";"Residencial";"2023";11622757,0439568
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Afuá";"Residencial";"2016";5862715,001
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Afuá";"Residencial";"2017";5629801,005
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Afuá";"Residencial";"2018";5953455,00002
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Afuá";"Residencial";"2019";5652645,00004
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Afuá";"Residencial";"2020";5807034,99999
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Afuá";"Residencial";"2021";6017506,99998
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Afuá";"Residencial";"2022";6114844,00001
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Afuá";"Residencial";"2023";6348467,42418167
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Araguaia";"Água Azul do Norte";"Residencial";"2016";3194342,586
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Araguaia";"Água Azul do Norte";"Residencial";"2017";3869256,372
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Araguaia";"Água Azul do Norte";"Residencial";"2018";3702189,63505
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Araguaia";"Água Azul do Norte";"Residencial";"2019";3917042,07501
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Araguaia";"Água Azul do Norte";"Residencial";"2020";4313734,65
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Araguaia";"Água Azul do Norte";"Residencial";"2021";5150866,85002
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Araguaia";"Água Azul do Norte";"Residencial";"2022";5863699,47501
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Araguaia";"Água Azul do Norte";"Residencial";"2023";6839799,18725009
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Alenquer";"Residencial";"2016";16507401,324
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Alenquer";"Residencial";"2017";15813571,386
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Alenquer";"Residencial";"2018";16434010,64539
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Alenquer";"Residencial";"2019";16359232,45997
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Alenquer";"Residencial";"2020";17596375,21496
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Alenquer";"Residencial";"2021";18928904,09999
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Alenquer";"Residencial";"2022";20595541,07506
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Alenquer";"Residencial";"2023";22666134,3760169
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Almeirim";"Residencial";"2016";13563015,212
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Almeirim";"Residencial";"2017";15120163,647
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Almeirim";"Residencial";"2018";12781635,10903
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Almeirim";"Residencial";"2019";12963682,54253
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Almeirim";"Residencial";"2020";12881715,00016
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Almeirim";"Residencial";"2021";13800449,01674
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Almeirim";"Residencial";"2022";14827309,99995
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Baixo Amazonas";"Almeirim";"Residencial";"2023";16220690,2689533
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Xingu";"Altamira";"Residencial";"2016";94445632,478
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Xingu";"Altamira";"Residencial";"2017";90452612,992
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Xingu";"Altamira";"Residencial";"2018";83662411,47783
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Xingu";"Altamira";"Residencial";"2019";82594114,27488
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Xingu";"Altamira";"Residencial";"2020";83734781,96973
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Xingu";"Altamira";"Residencial";"2021";87315765,63886
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Xingu";"Altamira";"Residencial";"2022";93406130,27798
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Xingu";"Altamira";"Residencial";"2023";103572206,392527
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Anajás";"Residencial";"2016";4074709,845
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Anajás";"Residencial";"2017";3578733,534
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Anajás";"Residencial";"2018";3680885,99999
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Anajás";"Residencial";"2019";3497291,99993
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Anajás";"Residencial";"2020";3826357,99996
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Anajás";"Residencial";"2021";4206208
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Anajás";"Residencial";"2022";4325381,00001
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Marajó";"Anajás";"Residencial";"2023";4813429,20039362
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Guajará";"Ananindeua";"Residencial";"2016";330790326,558
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Guajará";"Ananindeua";"Residencial";"2017";311507235,998
"Infraestrutura";"-";"Consumo de Energia Elétrica por Tipo (kWH)";"Guajará";"Ananindeua";"Residencial";"2018";305171302,11461
