"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Pará";"Pará";"-";"2011";251801,205662782
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Pará";"Pará";"-";"2012";253499,6429973
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Pará";"Pará";"-";"2013";255600,175585295
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Pará";"Pará";"-";"2014";257396,950439849
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Pará";"Pará";"-";"2015";259701,493151544
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Pará";"Pará";"-";"2016";262461,76135021
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Pará";"Pará";"-";"2017";265033,803082045
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Pará";"Pará";"-";"2018";267642,179431068
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Pará";"Pará";"-";"2019";272105,501114461
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Pará";"Pará";"-";"2020";276723,615426502
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Pará";"Pará";"-";"2021";281809,796425381
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Pará";"Pará";"-";"2022";286340,420950632
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Pará";"Pará";"-";"2023";289225,22993179
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Pará";"Pará";"-";"2024";291486,068762896
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Tocantins";"Abaetetuba";"-";"2011";693,599291302075
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Tocantins";"Abaetetuba";"-";"2012";695,840209106619
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Tocantins";"Abaetetuba";"-";"2013";696,261380218114
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Tocantins";"Abaetetuba";"-";"2014";696,505319606277
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Tocantins";"Abaetetuba";"-";"2015";697,091467871302
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Tocantins";"Abaetetuba";"-";"2016";697,477136878088
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Tocantins";"Abaetetuba";"-";"2017";698,656060292174
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Tocantins";"Abaetetuba";"-";"2018";699,29571220255
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Tocantins";"Abaetetuba";"-";"2019";699,635835279728
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Tocantins";"Abaetetuba";"-";"2020";700,860328690527
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Tocantins";"Abaetetuba";"-";"2021";702,557155085148
"Meio Ambiente";"-";"Desflorestamento Acumulado (km²)";"Tocantins";"Abaetetuba";"-";"2022";702,964076374016
