"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Pará";"Pará";"Federal";"2019";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Pará";"Pará";"Federal";"2020";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Pará";"Pará";"Federal";"2021";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Pará";"Pará";"Federal";"2022";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Pará";"Pará";"Federal";"2023";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Pará";"Pará";"Federal";"2024";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Tocantins";"Abaetetuba";"Federal";"2019";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Tocantins";"Abaetetuba";"Federal";"2020";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Tocantins";"Abaetetuba";"Federal";"2021";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Tocantins";"Abaetetuba";"Federal";"2022";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Tocantins";"Abaetetuba";"Federal";"2023";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Tocantins";"Abaetetuba";"Federal";"2024";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Rio Capim";"Abel Figueiredo";"Federal";"2019";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Rio Capim";"Abel Figueiredo";"Federal";"2020";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Rio Capim";"Abel Figueiredo";"Federal";"2021";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Rio Capim";"Abel Figueiredo";"Federal";"2022";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Rio Capim";"Abel Figueiredo";"Federal";"2023";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Rio Capim";"Abel Figueiredo";"Federal";"2024";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Tocantins";"Acará";"Federal";"2019";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Tocantins";"Acará";"Federal";"2020";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Tocantins";"Acará";"Federal";"2021";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Tocantins";"Acará";"Federal";"2022";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Tocantins";"Acará";"Federal";"2023";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Tocantins";"Acará";"Federal";"2024";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Marajó";"Afuá";"Federal";"2019";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Marajó";"Afuá";"Federal";"2020";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Marajó";"Afuá";"Federal";"2021";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Marajó";"Afuá";"Federal";"2022";0
"Social";"Educação";"Estabelecimentos de Creche por Dependência Administrativa";"Marajó";"Afuá";"Federal";"2023";0
