"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2009";78
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2010";81,8
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2011";84
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2012";83,4
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2013";83,5
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2014";83,2
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2015";83,5
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2016";83,7
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2017";84,4
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2018";85,2
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2019";86,5
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2020";97,7
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2021";93,1
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2022";86,7
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2023";91,3
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Pará";"Pará";"Total";"2024";92,9
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2009";79,1
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2010";80,6
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2011";85,7
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2012";83,3
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2013";84,2
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2014";85,1
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2015";86,2
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2016";85,1
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2017";85,9
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2018";87,5
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2019";88,8
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2020";99,6
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2021";91,1
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2022";87,9
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2023";93,2
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Tocantins";"Abaetetuba";"Total";"2024";94,6
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Rio Capim";"Abel Figueiredo";"Total";"2009";79,2
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Rio Capim";"Abel Figueiredo";"Total";"2010";80,8
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Rio Capim";"Abel Figueiredo";"Total";"2011";81,5
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Rio Capim";"Abel Figueiredo";"Total";"2012";81,6
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Rio Capim";"Abel Figueiredo";"Total";"2013";91
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Rio Capim";"Abel Figueiredo";"Total";"2014";93,5
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Rio Capim";"Abel Figueiredo";"Total";"2015";92,1
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Rio Capim";"Abel Figueiredo";"Total";"2016";85,8
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Rio Capim";"Abel Figueiredo";"Total";"2017";87
"Social";"Educação";"Taxa de Aprovação no Ensino Fundamental por Esfera Administrativa";"Rio Capim";"Abel Figueiredo";"Total";"2018";90,7
