"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Pará";"Pará";"-";"2013";3,8
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Pará";"Pará";"-";"2015";4,3
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Pará";"Pará";"-";"2017";4,5
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Pará";"Pará";"-";"2019";4,7
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Pará";"Pará";"-";"2021";4,8
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Pará";"Pará";"-";"2023";4,8
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Tocantins";"Abaetetuba";"-";"2013";4
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Tocantins";"Abaetetuba";"-";"2015";4,4
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Tocantins";"Abaetetuba";"-";"2017";4,6
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Tocantins";"Abaetetuba";"-";"2019";4,7
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Tocantins";"Abaetetuba";"-";"2021";4,2
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Tocantins";"Abaetetuba";"-";"2023";4,4
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Rio Capim";"Abel Figueiredo";"-";"2013";4,2
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Rio Capim";"Abel Figueiredo";"-";"2015";4,7
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Rio Capim";"Abel Figueiredo";"-";"2017";5,1
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Rio Capim";"Abel Figueiredo";"-";"2019";5,1
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Rio Capim";"Abel Figueiredo";"-";"2021";5,1
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Rio Capim";"Abel Figueiredo";"-";"2023";5,3
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Tocantins";"Acará";"-";"2013";3,5
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Tocantins";"Acará";"-";"2015";3,6
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Tocantins";"Acará";"-";"2017";3,7
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Tocantins";"Acará";"-";"2019";3,8
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Tocantins";"Acará";"-";"2021";4,7
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Tocantins";"Acará";"-";"2023";4,3
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Marajó";"Afuá";"-";"2013";2,7
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Marajó";"Afuá";"-";"2015";3,2
"Social";"Educação";"Índice de desenvonvimento da educação básica - IDEB - Escola pública - 5ª ano (séries iniciais)";"Marajó";"Afuá";"-";"2017";3,3
