"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2009";870869
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2010";951235
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2011";1037089
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2012";1052344
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2013";1125536
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2014";1148221
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2015";1125629
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2016";1053271
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2017";1068818
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2018";1085546
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2019";1081969
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2020";1081037
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2021";1167171
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2022";1278058
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Pará";"Pará";"-";"2023";926913
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Tocantins";"Abaetetuba";"-";"2009";6445
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Tocantins";"Abaetetuba";"-";"2010";6565
"Social";"Mercado de Trabalho";"Vínculos Empregatícios Total no Emprego Formal";"Tocantins";"Abaetetuba";"-";"2011";7955
