"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Pará";"Pará";"Total";"2015";848111
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Pará";"Pará";"Total";"2016";871662
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Pará";"Pará";"Total";"2018";673386
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Pará";"Pará";"Total";"2019";689410
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Pará";"Pará";"Total";"2020";697188
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Pará";"Pará";"Total";"2021";711605
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Pará";"Pará";"Total";"2022";744845
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Pará";"Pará";"Total";"2023";782200
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Pará";"Pará";"Total";"2024";820361
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Abaetetuba";"Total";"2015";18025
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Abaetetuba";"Total";"2016";18427
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Abaetetuba";"Total";"2018";14068
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Abaetetuba";"Total";"2019";14328
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Abaetetuba";"Total";"2020";14437
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Abaetetuba";"Total";"2021";14818
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Abaetetuba";"Total";"2022";15414
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Abaetetuba";"Total";"2023";16371
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Abaetetuba";"Total";"2024";17121
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Rio Capim";"Abel Figueiredo";"Total";"2015";520
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Rio Capim";"Abel Figueiredo";"Total";"2016";543
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Rio Capim";"Abel Figueiredo";"Total";"2018";428
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Rio Capim";"Abel Figueiredo";"Total";"2019";434
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Rio Capim";"Abel Figueiredo";"Total";"2020";446
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Rio Capim";"Abel Figueiredo";"Total";"2021";453
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Rio Capim";"Abel Figueiredo";"Total";"2022";476
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Rio Capim";"Abel Figueiredo";"Total";"2023";496
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Rio Capim";"Abel Figueiredo";"Total";"2024";537
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Acará";"Total";"2015";5454
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Acará";"Total";"2016";5537
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Acará";"Total";"2018";4829
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Acará";"Total";"2019";5021
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Acará";"Total";"2020";5146
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Acará";"Total";"2021";5244
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Acará";"Total";"2022";5490
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Acará";"Total";"2023";5723
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Tocantins";"Acará";"Total";"2024";5889
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Marajó";"Afuá";"Total";"2015";1817
"Social";"Previdência Social";"Quantidade de benefícios emitidos no mês de dezembro";"Marajó";"Afuá";"Total";"2016";1842
