"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2010";2,18650421953368
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2011";2,19469753064662
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2012";2,17751899879893
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2013";2,15632304544316
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2014";2,17856402562407
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2015";2,08409412394877
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2016";2,05913420304248
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2017";2,00701042945428
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2018";1,92637915489958
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2019";1,8428429549266
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2020";2,0306850412888
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2021";2,04365602436499
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2022";2,10218283424245
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2023";1,94101289211385
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2024";1,97257576082839
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Pará";"Pará";"-";"2025";2,00776104681837
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2010";1,87101346562721
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2011";1,98900444724586
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2012";2,1881383512793
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2013";1,81303346982012
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2014";1,79347497531453
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2015";1,81478551628321
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2016";1,83632366685534
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2017";1,81901160516365
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2018";1,78512015970107
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2019";1,52189628276833
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2020";2,05556952476741
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2021";2,01945910906949
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2022";2,03555263357524
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2023";1,91315233180202
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2024";1,89474792250247
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Abaetetuba";"-";"2025";1,87996100821613
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2010";2,94985250737463
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2011";2,92269472453602
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2012";2,89645184648805
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2013";2,99443889918722
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2014";2,97029702970297
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2015";2,94695481335953
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2016";2,9251984956122
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2017";2,90416263310745
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2018";2,84475751828773
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2019";2,95937584073177
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2020";2,93881912904088
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2021";2,91932059447983
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2022";3,58539765319426
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2023";3,45694531741043
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2024";3,49095525230086
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2025";3,50597609561753
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2010";0,616027926599339
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2011";0,614754098360656
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2012";0,613531150649785
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2013";0,610771793448084
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2014";0,610579680648325
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2015";0,610387688665286
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2016";0,610207100591716
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2017";0,61002661934339
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2018";0,594455352800245
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2019";0,593621269629976
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2020";0,592789523792416
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2021";0,59199196326062
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2022";0,55910407807126
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2023";0,529601514981303
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2024";0,526307395416341
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Tocantins";"Acará";"-";"2025";0,522896529868484
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2010";0,856115518520632
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2011";0,845856711873009
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2012";0,836143705231472
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2013";0,8197169244221
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2014";0,810723165063236
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2015";0,802181934862827
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2016";0,794112975806025
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2017";0,786493288590604
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2018";0,771942464554975
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2019";0,764954867662808
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2020";0,758207597240124
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2021";0,751691305437234
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2022";0,794386336555011
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2023";0,749850029994001
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2024";0,745415693485067
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Marajó";"Afuá";"-";"2025";0,741234897338967
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2010";1,71608732090833
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2011";1,700613011667
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2012";1,68587783266682
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2013";1,66029576431522
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2014";1,64719402413331
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2015";1,5206234556168
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2016";1,50960486092765
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2017";1,4991379956525
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2018";1,46837487610587
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2019";1,458257382428
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2020";1,44848814050335
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2021";1,43900420908731
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2022";2,21238938053097
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2023";2,15679930982422
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2024";2,2271714922049
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Araguaia";"Água Azul do Norte";"-";"2025";2,27324391907252
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2010";1,9952114924182
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2011";1,98098256735341
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2012";1,96743427832637
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2013";2,42435458499121
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2014";2,41017055176347
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2015";2,39654604661374
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2016";2,38355167394469
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2017";2,37121239546755
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2018";1,77053824362606
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2019";1,8665586645301
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2020";1,85665242065438
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2021";1,84701167450775
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2022";1,52788388082506
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2023";1,43499473835263
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2024";1,5366935699396
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Alenquer";"-";"2025";1,51551092485701
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2010";3,33194502290712
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2011";3,54293199952364
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2012";2,80070315526026
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2013";2,80078660389726
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2014";2,80882089284647
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2015";2,81673259019537
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2016";2,82434949822727
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2017";2,6208766380479
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2018";2,75320719348603
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2019";2,75587088451728
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2020";3,11069374339711
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2021";3,34860768417342
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2022";3,12135355892649
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2023";2,94417081693861
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2024";3,02746738591952
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Baixo Amazonas";"Almeirim";"-";"2025";3,01849514296691
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Xingu";"Altamira";"-";"2010";3,90613171839516
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Xingu";"Altamira";"-";"2011";3,48435514612452
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Xingu";"Altamira";"-";"2012";3,21468004651026
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Xingu";"Altamira";"-";"2013";3,08260232527163
"Social";"Saúde";"Leito Hospitalar por Mil Habitantes";"Xingu";"Altamira";"-";"2014";3,27813577101753
