"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2008";37,1104441300525
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2009";39,7519910577057
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2010";42,2462629809435
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2011";45,1723555017116
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2012";47,5032103136313
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2013";49,2726803236357
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2014";50,4379699379107
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2015";48,8851918110499
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2016";48,1250136184368
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2017";48,7244382913674
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2018";49,4567018523611
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2019";50,2634793734323
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2020";52,0122162210956
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2021";53,1076577529188
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2022";55,234375
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2023";56,5722303253218
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Pará";"Pará";"-";"2024";58,4812049107708
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Tocantins";"Abaetetuba";"-";"2008";42,639418081053
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Tocantins";"Abaetetuba";"-";"2009";39,9852180339985
"Social";"Saúde";"Percentual de Nascidos Vivos por Parto Cesário";"Tocantins";"Abaetetuba";"-";"2010";47,3014649190439
