"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2008";6520
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2009";6858
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2010";6900
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2011";7363
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2012";7680
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2013";7843
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2014";8310
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2015";8790
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2016";9024
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2017";9366
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2018";9508
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2019";9644
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2020";10206
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2021";10267
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2022";10704
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2023";10851
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Pará";"Pará";"-";"2024";11395
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2008";128
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2009";113
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2010";134
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2011";164
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2012";168
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2013";171
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2014";150
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2015";106
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2016";114
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2017";116
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2018";101
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2019";103
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2020";105
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2021";156
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2022";204
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2023";202
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Tocantins";"Abaetetuba";"-";"2024";210
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Rio Capim";"Abel Figueiredo";"-";"2008";14
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Rio Capim";"Abel Figueiredo";"-";"2009";7
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Rio Capim";"Abel Figueiredo";"-";"2010";11
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Rio Capim";"Abel Figueiredo";"-";"2011";7
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Rio Capim";"Abel Figueiredo";"-";"2012";11
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Rio Capim";"Abel Figueiredo";"-";"2013";14
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Rio Capim";"Abel Figueiredo";"-";"2014";9
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Rio Capim";"Abel Figueiredo";"-";"2015";12
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Rio Capim";"Abel Figueiredo";"-";"2016";21
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Rio Capim";"Abel Figueiredo";"-";"2017";6
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Rio Capim";"Abel Figueiredo";"-";"2018";16
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Rio Capim";"Abel Figueiredo";"-";"2019";10
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Rio Capim";"Abel Figueiredo";"-";"2020";11
"Social";"Saúde";"Óbitos por Residência Doenças do Aparelho Circulatório";"Rio Capim";"Abel Figueiredo";"-";"2021";14
