"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2010";236
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2011";243
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2012";239
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2013";239
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2014";244
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2015";239
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2016";242
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2017";247
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2018";246
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2019";246
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2020";261
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2021";267
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2022";270
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2023";263
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2024";274
"Social";"Saúde";"Número de Hospitais";"Pará";"Pará";"-";"2025";279
"Social";"Saúde";"Número de Hospitais";"Tocantins";"Abaetetuba";"-";"2010";5
"Social";"Saúde";"Número de Hospitais";"Tocantins";"Abaetetuba";"-";"2011";5
"Social";"Saúde";"Número de Hospitais";"Tocantins";"Abaetetuba";"-";"2012";5
"Social";"Saúde";"Número de Hospitais";"Tocantins";"Abaetetuba";"-";"2013";5
"Social";"Saúde";"Número de Hospitais";"Tocantins";"Abaetetuba";"-";"2014";5
"Social";"Saúde";"Número de Hospitais";"Tocantins";"Abaetetuba";"-";"2015";5
"Social";"Saúde";"Número de Hospitais";"Tocantins";"Abaetetuba";"-";"2016";6
"Social";"Saúde";"Número de Hospitais";"Tocantins";"Abaetetuba";"-";"2017";6
"Social";"Saúde";"Número de Hospitais";"Tocantins";"Abaetetuba";"-";"2018";5
"Social";"Saúde";"Número de Hospitais";"Tocantins";"Abaetetuba";"-";"2019";4
"Social";"Saúde";"Número de Hospitais";"Tocantins";"Abaetetuba";"-";"2020";4
"Social";"Saúde";"Número de Hospitais";"Tocantins";"Abaetetuba";"-";"2021";4
"Social";"Saúde";"Número de Hospitais";"Tocantins";"Abaetetuba";"-";"2022";4
"Social";"Saúde";"Número de Hospitais";"Tocantins";"Abaetetuba";"-";"2023";4
