"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2010";2,29255811628229
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2011";2,3281242744934
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2012";2,35866996582166
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2013";2,37633049819563
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2014";2,44173880427594
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2015";2,43574845286108
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2016";2,46166809611941
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2017";2,45950741280772
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2018";2,47013691064388
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2019";2,48723007677181
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2020";2,55024790702014
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2021";2,62947079545407
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2022";2,86325429971512
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2023";2,74717622317238
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2024";2,78729767854459
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Pará";"Pará";"-";"2025";2,78147799682156
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2010";3,11835577604536
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2011";3,08155618587387
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2012";3,04677491950282
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2013";3,05567438733729
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2014";3,08988197994264
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2015";3,05788035710725
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2016";3,09344847104664
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2017";2,93388968574782
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2018";3,00719166687994
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2019";3,04379256553666
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2020";3,14307266784008
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2021";3,24110721208684
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2022";3,28722785546312
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2023";3,12953930819467
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2024";3,27487295247341
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Abaetetuba";"-";"2025";3,48140927447431
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2010";4,42477876106195
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2011";4,38340151957919
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2012";4,34467776973208
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2013";4,27776985598175
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2014";4,24328147100424
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2015";4,20993544765647
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2016";4,17885499373172
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2017";4,14880376158208
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2018";4,06393931183961
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2019";4,03551251008878
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2020";4,00748063051029
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2021";3,98089171974522
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2022";4,88917861799218
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2023";4,71401634192332
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2024";4,7603935258648
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Rio Capim";"Abel Figueiredo";"-";"2025";4,7808764940239
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2010";3,17347719763296
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2011";2,9806259314456
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2012";2,97469648799896
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2013";2,96131778641495
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2014";2,96038633041612
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2015";2,95945546019532
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2016";3,14349112426035
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2017";3,14256137237504
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2018";3,06234575684975
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2019";3,05804896476048
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2020";3,05376421347608
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2021";3,58783008036739
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2022";3,38850956406824
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2023";3,37019145897193
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2024";3,34922887992217
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Tocantins";"Acará";"-";"2025";3,32752337189035
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2010";3,13909023457565
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2011";3,10147461020103
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2012";3,0658602525154
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2013";3,00562872288103
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2014";3,24289266025295
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2015";3,47612171773892
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2016";3,44115622849277
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2017";3,40813758389262
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2018";3,34508401307156
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2019";3,31480442653883
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2020";3,28556625470721
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2021";7,76747682285141
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2022";7,94386336555011
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2023";7,49850029994001
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2024";7,70262883267902
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Afuá";"-";"2025";7,41234897338967
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2010";3,5918106716686
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2011";3,1638060586886
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2012";3,13651689798479
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2013";3,08892235221437
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2014";3,06454702164336
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2015";3,04124691123361
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2016";3,0192097218553
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2017";2,998275991305
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2018";2,93674975221174
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2019";2,916514764856
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2020";2,8969762810067
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2021";3,59751052271828
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2022";6,08407079646018
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2023";5,93119810201661
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2024";6,12472160356347
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Araguaia";"Água Azul do Norte";"-";"2025";6,25142077744942
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2010";0,760080568540265
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2011";0,943325032073051
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2012";1,31162285221758
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2013";1,29545664846858
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2014";1,28787739407208
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2015";1,28059712414474
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2016";1,27365356622999
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2017";1,26706005864678
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2018";1,23937677053824
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2019";1,40872352040008
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2020";1,40124710992784
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2021";1,39397107510019
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2022";1,00897992129957
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2023";0,956663158901751
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2024";1,06900422256668
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Alenquer";"-";"2025";1,05426846946575
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2010";3,56994109597192
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2011";3,57270453733476
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2012";3,57536573011948
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2013";3,57547226029438
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2014";3,58572879937847
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2015";3,59582883854728
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2016";3,60555255092843
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2017";3,61500225937641
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2018";3,22183820514323
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2019";3,22495529039256
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2020";3,52154008686466
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2021";4,11232522617789
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2022";4,08401400233372
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2023";3,85218611562061
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2024";4,40358892497385
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Baixo Amazonas";"Almeirim";"-";"2025";4,9393556884913
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2010";2,92707544789301
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2011";2,87881194409149
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2012";2,93131919134675
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2013";3,1396875535174
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2014";3,18447474898846
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2015";3,13705227805355
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2016";3,09265222216158
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2017";2,96136761340692
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2018";3,35703873846018
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2019";3,22879033806307
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2020";3,19050780812114
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2021";3,5799522673031
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2022";3,32596868838049
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2023";4,46461790311779
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2024";4,45313982859062
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Xingu";"Altamira";"-";"2025";3,24326661813779
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2010";1,6155741346581
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2011";1,58390749980201
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2012";1,55454510123975
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2013";1,506761592647
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2014";1,4786884033862
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2015";2,54175744371823
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2016";2,49892903041554
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2017";2,10777769971194
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2018";2,07907411899234
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2019";2,04939030638385
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2020";2,02101859337106
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2021";3,65557807982453
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2022";3,92702866730927
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2023";4,04462570359635
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2024";3,999600039996
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Marajó";"Anajás";"-";"2025";3,96733560353093
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Guajará";"Ananindeua";"-";"2010";0,97461756854104
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Guajará";"Ananindeua";"-";"2011";1,08786838466189
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Guajará";"Ananindeua";"-";"2012";1,11611525750226
"Social";"Saúde";"Postos e Centros de Saúde por 10.000 Habitantes";"Guajará";"Ananindeua";"-";"2013";1,07292661991676
