"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2010";25,5109746656499
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2011";22,8392133685876
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2012";22,9986301816432
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2013";75,618058782098
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2014";76,2634990826605
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2015";82,030770013008
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2016";95,112847211277
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2017";101,373017937579
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2018";100,19835013121
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2019";73,0362802409989
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2020";59,4096231108426
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2021";57,902051659928
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2022";65,7898181925509
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2023";55,6499981672156
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Pará";"Pará";"-";"2024*";45,2090522094052
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Tocantins";"Abaetetuba";"-";"2010";21,2615166548547
"Social";"Segurança";"Taxa de Homicídios de Jovens por 100.000 habitantes";"Tocantins";"Abaetetuba";"-";"2011";17,5088419651924
