"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Pará";"Pará";"-";"2014";40,1856659197915
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Pará";"Pará";"-";"2015";40,9897838690579
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Pará";"Pará";"-";"2016";43,935487918102
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Pará";"Pará";"-";"2017";46,2615963512624
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Pará";"Pará";"-";"2018";44,7807387827292
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Pará";"Pará";"-";"2019";32,0051393491493
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Pará";"Pará";"-";"2020";25,2732433032782
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Pará";"Pará";"-";"2021";25,6137919091059
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Pará";"Pará";"-";"2022";28,1522551791344
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Pará";"Pará";"-";"2023";23,6533381614926
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Pará";"Pará";"-";"2024*";20,7056398977598
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Tocantins";"Abaetetuba";"-";"2014";44,3330892774378
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Tocantins";"Abaetetuba";"-";"2015";39,8853959622684
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Tocantins";"Abaetetuba";"-";"2016";31,592665236221
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Tocantins";"Abaetetuba";"-";"2017";48,8981614291303
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Tocantins";"Abaetetuba";"-";"2018";35,8303687968674
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Tocantins";"Abaetetuba";"-";"2019";24,7308145949853
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Tocantins";"Abaetetuba";"-";"2020";17,6012069399045
"Social";"Segurança";"Taxa do Crime de Homicídio por 100.000 habitantes (segup)";"Tocantins";"Abaetetuba";"-";"2021";26,178173636086
