"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor"
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Pará";"Pará";"-";"2014";1418,24431700408
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Pará";"Pará";"-";"2015";1440,2352745359
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Pará";"Pará";"-";"2016";1546,12220856437
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Pará";"Pará";"-";"2017";1554,44201800559
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Pará";"Pará";"-";"2018";1247,68241832371
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Pará";"Pará";"-";"2019";989,183443986896
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Pará";"Pará";"-";"2020";771,080349199428
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Pará";"Pará";"-";"2021";778,99065317893
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Pará";"Pará";"-";"2022";676,134412117243
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Pará";"Pará";"-";"2023";511,866129998189
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Pará";"Pará";"-";"2024*";415,555498616969
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Tocantins";"Abaetetuba";"-";"2014";1690,70281380774
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Tocantins";"Abaetetuba";"-";"2015";1653,24966263603
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Tocantins";"Abaetetuba";"-";"2016";2279,27916068819
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Tocantins";"Abaetetuba";"-";"2017";2135,21971573869
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Tocantins";"Abaetetuba";"-";"2018";1426,17664371817
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Tocantins";"Abaetetuba";"-";"2019";993,671447957489
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Tocantins";"Abaetetuba";"-";"2020";954,865476489816
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Tocantins";"Abaetetuba";"-";"2021";996,017177868224
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Tocantins";"Abaetetuba";"-";"2022";646,698864642071
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Tocantins";"Abaetetuba";"-";"2023";379,087591671883
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Tocantins";"Abaetetuba";"-";"2024*";353,803238615431
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Rio Capim";"Abel Figueiredo";"-";"2014";155,586987270156
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Rio Capim";"Abel Figueiredo";"-";"2015";84,1987089531294
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Rio Capim";"Abel Figueiredo";"-";"2016";153,224683103496
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Rio Capim";"Abel Figueiredo";"-";"2017";221,269533951044
"Social";"Segurança";"Taxa do Crime de Roubo por 100.000 habitantes";"Rio Capim";"Abel Figueiredo";"-";"2018";365,754538065565
